team_uri,team_name,stadium,founded
http://dbpedia.org/resource/1999–2000_Middlesbrough_F.C._season,1999–2000 Middlesbrough F.C. season,http://dbpedia.org/resource/Riverside_Stadium,Unknown
http://dbpedia.org/resource/1999–2000_Newcastle_United_F.C._season,1999–2000 Newcastle United F.C. season,http://dbpedia.org/resource/St_James'_Park,Unknown
http://dbpedia.org/resource/1999–2000_Sheffield_Wednesday_F.C._season,1999–2000 Sheffield Wednesday F.C. season,Unknown,Unknown
http://dbpedia.org/resource/1999–2000_Southampton_F.C._season,1999–2000 Southampton F.C. season,http://dbpedia.org/resource/The_Dell_(Southampton),Unknown
http://dbpedia.org/resource/1999–2000_Sunderland_A.F.C._season,1999–2000 Sunderland A.F.C. season,http://dbpedia.org/resource/Stadium_of_Light,Unknown
http://dbpedia.org/resource/1999–2000_Tottenham_Hotspur_F.C._season,1999–2000 Tottenham Hotspur F.C. season,http://dbpedia.org/resource/White_Hart_Lane,Unknown
http://dbpedia.org/resource/1999–2000_Watford_F.C._season,1999–2000 Watford F.C. season,http://dbpedia.org/resource/Vicarage_Road,Unknown
http://dbpedia.org/resource/1999–2000_West_Ham_United_F.C._season,1999–2000 West Ham United F.C. season,http://dbpedia.org/resource/Boleyn_Ground,Unknown
http://dbpedia.org/resource/1999–2000_Wimbledon_F.C._season,1999–2000 Wimbledon F.C. season,http://dbpedia.org/resource/Selhurst_Park,Unknown
http://dbpedia.org/resource/2000–01_Arsenal_F.C._season,2000–01 Arsenal F.C. season,http://dbpedia.org/resource/Arsenal_Stadium,Unknown
http://dbpedia.org/resource/2000–01_Aston_Villa_F.C._season,2000–01 Aston Villa F.C. season,http://dbpedia.org/resource/Villa_Park,Unknown
http://dbpedia.org/resource/2000–01_Bradford_City_A.F.C._season,2000–01 Bradford City A.F.C. season,http://dbpedia.org/resource/Valley_Parade,Unknown
http://dbpedia.org/resource/2000–01_Charlton_Athletic_F.C._season,2000–01 Charlton Athletic F.C. season,http://dbpedia.org/resource/The_Valley_(stadium),Unknown
http://dbpedia.org/resource/2000–01_Chelsea_F.C._season,2000–01 Chelsea F.C. season,Unknown,Unknown
http://dbpedia.org/resource/2000–01_Coventry_City_F.C._season,2000–01 Coventry City F.C. season,http://dbpedia.org/resource/Highfield_Road,Unknown
http://dbpedia.org/resource/2000–01_Derby_County_F.C._season,2000–01 Derby County F.C. season,http://dbpedia.org/resource/Pride_Park_Stadium,Unknown
http://dbpedia.org/resource/2000–01_Everton_F.C._season,2000–01 Everton F.C. season,Unknown,Unknown
http://dbpedia.org/resource/2000–01_Ipswich_Town_F.C._season,2000–01 Ipswich Town F.C. season,http://dbpedia.org/resource/Portman_Road,Unknown
http://dbpedia.org/resource/2000–01_Leeds_United_A.F.C._season,2000–01 Leeds United A.F.C. season,http://dbpedia.org/resource/Elland_Road,Unknown
http://dbpedia.org/resource/2000–01_Leicester_City_F.C._season,2000–01 Leicester City F.C. season,http://dbpedia.org/resource/Filbert_Street,Unknown
http://dbpedia.org/resource/2000–01_Liverpool_F.C._season,2000–01 Liverpool F.C. season,Unknown,Unknown
http://dbpedia.org/resource/2000–01_Manchester_City_F.C._season,2000–01 Manchester City F.C. season,http://dbpedia.org/resource/Maine_Road,Unknown
http://dbpedia.org/resource/2000–01_Middlesbrough_F.C._season,2000–01 Middlesbrough F.C. season,http://dbpedia.org/resource/Riverside_Stadium,Unknown
http://dbpedia.org/resource/2000–01_Newcastle_United_F.C._season,2000–01 Newcastle United F.C. season,http://dbpedia.org/resource/St_James'_Park,Unknown
http://dbpedia.org/resource/2000–01_Southampton_F.C._season,2000–01 Southampton F.C. season,http://dbpedia.org/resource/The_Dell_(Southampton),Unknown
http://dbpedia.org/resource/2000–01_Sunderland_A.F.C._season,2000–01 Sunderland A.F.C. season,http://dbpedia.org/resource/Stadium_of_Light,Unknown
http://dbpedia.org/resource/2000–01_Tottenham_Hotspur_F.C._season,2000–01 Tottenham Hotspur F.C. season,http://dbpedia.org/resource/White_Hart_Lane,Unknown
http://dbpedia.org/resource/2000–01_West_Ham_United_F.C._season,2000–01 West Ham United F.C. season,http://dbpedia.org/resource/Boleyn_Ground,Unknown
http://dbpedia.org/resource/2001–02_Arsenal_F.C._season,2001–02 Arsenal F.C. season,http://dbpedia.org/resource/Arsenal_Stadium,Unknown
http://dbpedia.org/resource/2001–02_Aston_Villa_F.C._season,2001–02 Aston Villa F.C. season,http://dbpedia.org/resource/Villa_Park,Unknown
http://dbpedia.org/resource/2001–02_Blackburn_Rovers_F.C._season,2001–02 Blackburn Rovers F.C. season,Unknown,Unknown
http://dbpedia.org/resource/2001–02_Bolton_Wanderers_F.C._season,2001–02 Bolton Wanderers F.C. season,http://dbpedia.org/resource/Toughsheet_Community_Stadium,Unknown
http://dbpedia.org/resource/2001–02_Charlton_Athletic_F.C._season,2001–02 Charlton Athletic F.C. season,http://dbpedia.org/resource/The_Valley_(stadium),Unknown
http://dbpedia.org/resource/2001–02_Chelsea_F.C._season,2001–02 Chelsea F.C. season,Unknown,Unknown
http://dbpedia.org/resource/2001–02_Derby_County_F.C._season,2001–02 Derby County F.C. season,http://dbpedia.org/resource/Pride_Park_Stadium,Unknown
http://dbpedia.org/resource/2001–02_Everton_F.C._season,2001–02 Everton F.C. season,http://dbpedia.org/resource/Goodison_Park,Unknown
http://dbpedia.org/resource/2001–02_Fulham_F.C._season,2001–02 Fulham F.C. season,http://dbpedia.org/resource/Craven_Cottage,Unknown
http://dbpedia.org/resource/2001–02_Ipswich_Town_F.C._season,2001–02 Ipswich Town F.C. season,http://dbpedia.org/resource/Portman_Road,Unknown
http://dbpedia.org/resource/2001–02_Leeds_United_A.F.C._season,2001–02 Leeds United A.F.C. season,http://dbpedia.org/resource/Elland_Road,Unknown
